event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps
1768080364613_layering_cluster_104096,2026-01-10T21:26:04.613000+00:00,1768080364613,Jan-1-31,layering_cluster,104096,TP,0.7,Borderline but tight range (0.0110bps) = likely layering,,,,,51.195,,,,,0.011041
1768085279187_layering_cluster_113021,2026-01-10T22:47:59.187000+00:00,1768085279187,Jan-1-31,layering_cluster,113021,TP,0.7,Suspicious: dense cluster of 19 trades,,,,,58.469,,,,,0.011049
1768089590804_layering_cluster_120240,2026-01-10T23:59:50.804000+00:00,1768089590804,Jan-1-31,layering_cluster,120240,TP,0.8,Suspicious: 114 trades at sub-tick level (layering),,,,,52.647,,,,,0.011049
1768091730718_layering_cluster_123970,2026-01-11T00:35:30.718000+00:00,1768091730718,Jan-1-31,layering_cluster,123970,TP,0.7,Borderline but tight range (0.0110bps) = likely layering,,,,,55.311,,,,,0.01104
1768095673618_layering_cluster_130116,2026-01-11T01:41:13.618000+00:00,1768095673618,Jan-1-31,layering_cluster,130116,TP,0.8,Suspicious: 51 trades at sub-tick level (layering),,,,,49.412,,,,,0.011042
1768096062611_layering_cluster_130529,2026-01-11T01:47:42.611000+00:00,1768096062611,Jan-1-31,layering_cluster,130529,TP,0.7,Suspicious: dense cluster of 18 trades,,,,,52.881,,,,,0.011039
1768099057334_layering_cluster_134210,2026-01-11T02:37:37.334000+00:00,1768099057334,Jan-1-31,layering_cluster,134210,TP,0.8,Suspicious: 154 trades at sub-tick level (layering),,,,,58.664,,,,,0.011033
1768100663053_layering_cluster_137318,2026-01-11T03:04:23.053000+00:00,1768100663053,Jan-1-31,layering_cluster,137318,TP,0.8,Suspicious: 32 trades at sub-tick level (layering),,,,,57.95,,,,,0.011029
1768105265685_layering_cluster_144513,2026-01-11T04:21:05.685000+00:00,1768105265685,Jan-1-31,layering_cluster,144513,TP,0.7,Suspicious: dense cluster of 19 trades,,,,,59.755,,,,,0.011025
1768107606138_layering_cluster_36,2026-01-11T05:00:06.138000+00:00,1768107606138,Jan-1-31,layering_cluster,36,TP,0.8,Suspicious: 36 trades at sub-tick level (layering),,,,,4.076,,,,,0.011013
1768108796999_layering_cluster_1648,2026-01-11T05:19:56.999000+00:00,1768108796999,Jan-1-31,layering_cluster,1648,TP,0.8,Suspicious: 123 trades at sub-tick level (layering),,,,,58.044,,,,,0.011019
1768114805339_layering_cluster_10419,2026-01-11T07:00:05.339000+00:00,1768114805339,Jan-1-31,layering_cluster,10419,TP,0.8,Suspicious: 89 trades at sub-tick level (layering),,,,,57.22,,,,,0.01102
1768114865966_layering_cluster_10674,2026-01-11T07:01:05.966000+00:00,1768114865966,Jan-1-31,layering_cluster,10674,TP,0.8,Suspicious: 249 trades at sub-tick level (layering),,,,,52.647,,,,,0.01102
1768115364243_layering_cluster_12040,2026-01-11T07:09:24.243000+00:00,1768115364243,Jan-1-31,layering_cluster,12040,TP,0.8,Suspicious: 86 trades at sub-tick level (layering),,,,,59.089,,,,,0.011024
1768122060349_layering_cluster_27413,2026-01-11T09:01:00.349000+00:00,1768122060349,Jan-1-31,layering_cluster,27413,TP,0.8,Suspicious: 274 trades at sub-tick level (layering),,,,,59.829,,,,,0.011015
1768124422554_layering_cluster_31567,2026-01-11T09:40:22.554000+00:00,1768124422554,Jan-1-31,layering_cluster,31567,TP,0.7,Suspicious: dense cluster of 18 trades,,,,,57.473,,,,,0.011026
1768140062475_layering_cluster_60326,2026-01-11T14:01:02.475000+00:00,1768140062475,Jan-1-31,layering_cluster,60326,TP,0.8,Suspicious: 339 trades at sub-tick level (layering),,,,,59.557,,,,,0.011007
1768152788349_layering_cluster_98349,2026-01-11T17:33:08.349000+00:00,1768152788349,Jan-1-31,layering_cluster,98349,TP,0.8,Suspicious: 116 trades at sub-tick level (layering),,,,,58.89,,,,,0.010983
1768165797221_layering_cluster_126080,2026-01-11T21:09:57.221000+00:00,1768165797221,Jan-1-31,layering_cluster,126080,TP,0.7,Borderline but tight range (0.0110bps) = likely layering,,,,,55.271,,,,,0.011034
1768166613956_layering_cluster_128235,2026-01-11T21:23:33.956000+00:00,1768166613956,Jan-1-31,layering_cluster,128235,TP,0.7,Suspicious: dense cluster of 21 trades,,,,,57.92,,,,,0.011029
1768170439765_layering_cluster_138276,2026-01-11T22:27:19.765000+00:00,1768170439765,Jan-1-31,layering_cluster,138276,TP,0.7,Suspicious: dense cluster of 16 trades,,,,,59.662,,,,,0.011023
1768516493871_layering_cluster_326858,2026-01-15T22:34:53.871000+00:00,1768516493871,Jan-1-31,layering_cluster,326858,TP,0.8,Suspicious: 36 trades at sub-tick level (layering),,,,,57.813,,,,,0.010436
1768531454827_layering_cluster_377483,2026-01-16T02:44:14.827000+00:00,1768531454827,Jan-1-31,layering_cluster,377483,TP,0.8,Suspicious: 64 trades at sub-tick level (layering),,,,,51.038,,,,,0.010474
1768531999542_layering_cluster_378675,2026-01-16T02:53:19.542000+00:00,1768531999542,Jan-1-31,layering_cluster,378675,TP,0.8,Suspicious: 65 trades at sub-tick level (layering),,,,,59.754,,,,,0.010469
1768614833337_layering_cluster_275284,2026-01-17T01:53:53.337000+00:00,1768614833337,Jan-1-31,layering_cluster,275284,TP,0.8,Suspicious: 116 trades at sub-tick level (layering),,,,,58.024,,,,,0.010481
1768617242107_layering_cluster_280483,2026-01-17T02:34:02.107000+00:00,1768617242107,Jan-1-31,layering_cluster,280483,TP,0.7,Suspicious: dense cluster of 19 trades,,,,,57.22,,,,,0.010499
1768620845993_layering_cluster_287841,2026-01-17T03:34:05.993000+00:00,1768620845993,Jan-1-31,layering_cluster,287841,TP,0.7,Suspicious: dense cluster of 22 trades,,,,,59.735,,,,,0.010497
1768624751140_layering_cluster_295008,2026-01-17T04:39:11.140000+00:00,1768624751140,Jan-1-31,layering_cluster,295008,TP,0.8,Suspicious: 61 trades at sub-tick level (layering),,,,,59.66,,,,,0.010494
1768626424699_layering_cluster_735,2026-01-17T05:07:04.699000+00:00,1768626424699,Jan-1-31,layering_cluster,735,TP,0.8,Suspicious: 65 trades at sub-tick level (layering),,,,,59.01,,,,,0.010488
1768630696899_layering_cluster_7431,2026-01-17T06:18:16.899000+00:00,1768630696899,Jan-1-31,layering_cluster,7431,TP,0.7,Suspicious: dense cluster of 17 trades,,,,,51.831,,,,,0.010503
