timestamp_iso_utc,timestamp_ms,day,detector,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart
2026-02-04T05:12:12.288000+00:00,1770181932288,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1838ms) = wash (user-learned),1838,,0.156848,4
2026-02-04T05:13:04.935000+00:00,1770181984935,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (512ms) = wash (user-learned),512,0.8509,0.013066,1
2026-02-04T05:13:34.220000+00:00,1770182014220,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2924ms) = wash (user-learned),2924,0.5792,0.117607,4
2026-02-04T05:13:36.650000+00:00,1770182016650,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2414ms) = wash (user-learned),2414,0.6951,0.013067,2
2026-02-04T05:14:26.030000+00:00,1770182066030,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2710ms) = wash (user-learned),2710,,0.261445,5
2026-02-04T05:17:51.802000+00:00,1770182271802,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (2ms) + similar amount = wash,2,0.7991,0.339911,3
2026-02-04T05:17:51.890000+00:00,1770182271890,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (88ms) + similar amount = wash,88,0.8015,0.013073,1
2026-02-04T05:18:36.560000+00:00,1770182316560,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1525ms) = wash (user-learned),1525,0.8057,0.692536,5
2026-02-04T05:20:03.180000+00:00,1770182403180,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1358ms) = wash (user-learned),1358,,0.0,5
2026-02-04T05:20:03.180000+00:00,1770182403180,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1000ms) = wash (user-learned),1000,,0.0,3
2026-02-04T05:20:03.268000+00:00,1770182403268,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1088ms) = wash (user-learned),1088,0.8936,0.013089,5
2026-02-04T05:20:04.750000+00:00,1770182404750,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1570ms) = wash (user-learned),1570,0.0407,0.0,5
2026-02-04T05:21:39.090000+00:00,1770182499090,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (22ms) + similar amount = wash,22,,0.013092,4
2026-02-04T05:21:39.090000+00:00,1770182499090,btcusdt_20260204,mirror_reversal,TP,0.95,Ultra-fast (22ms) + similar amount = wash,22,,0.013092,5
2026-02-04T05:22:42.943000+00:00,1770182562943,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (603ms) = wash (user-learned),603,0.6079,0.235701,3
2026-02-04T05:25:22.348000+00:00,1770182722348,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (1268ms) = wash (user-learned),1268,0.9119,0.156887,4
2026-02-04T05:26:58.630000+00:00,1770182818630,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (718ms) = wash (user-learned),718,,0.013082,2
2026-02-04T05:27:16.956000+00:00,1770182836956,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (225ms) = wash (user-learned),225,0.0212,0.013073,4
2026-02-04T05:27:16.959000+00:00,1770182836959,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (228ms) = wash (user-learned),228,0.0212,0.013073,5
2026-02-04T05:27:32.562000+00:00,1770182852562,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2376ms) = wash (user-learned),2376,0.1008,0.013072,1
2026-02-04T05:27:42.441000+00:00,1770182862441,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (2707ms) = wash (user-learned),2707,0.1007,0.013072,2
2026-02-04T05:28:04.250000+00:00,1770182884250,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (600ms) = wash (user-learned),600,,0.340083,4
2026-02-04T05:28:16.037000+00:00,1770182896037,btcusdt_20260204,mirror_reversal,TP,0.85,Under 2.9s (170ms) = wash (user-learned),170,,0.013083,3
