alert_id,detector,verdict,source,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_sec,notional_usd,balance_ratio,created_at
mirror_reversal_1765198911300_auto,mirror_reversal,FP,auto:obvious,3169.0,0.001,0.010895,3.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765174899007_auto,mirror_reversal,FP,auto:obvious,3172.0,0.001015,0.010944,4.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765203055957_auto,mirror_reversal,FP,auto:obvious,3174.0,0.0,0.010931,3.0,,,,"2026-02-17 23:00:09"
mirror_reversal_1765246913058_auto,mirror_reversal,FP,auto:obvious,3183.0,0.001003,0.01108,2.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765223601421_auto,mirror_reversal,FP,auto:obvious,3184.0,0.000903,0.011073,4.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765240638935_auto,mirror_reversal,FP,auto:obvious,3184.0,0.000181,0.883549,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765196147491_auto,mirror_reversal,FP,auto:obvious,3187.0,0.009098,0.010893,3.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765195885003_auto,mirror_reversal,FP,auto:obvious,3194.0,0.00102,0.010889,5.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765255452027_auto,mirror_reversal,FP,auto:obvious,3197.0,0.005845,0.011121,5.0,,,,"2026-02-17 23:00:16"
mirror_reversal_1765178351419_auto,mirror_reversal,FP,auto:obvious,3201.0,0.000832,0.010933,4.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765197978328_auto,mirror_reversal,FP,auto:obvious,3212.0,0.009621,0.010897,2.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765246863282_auto,mirror_reversal,FP,auto:obvious,3216.0,0.001003,0.01108,3.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765195033290_auto,mirror_reversal,FP,auto:obvious,3226.0,0.009955,0.282713,4.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765219068189_auto,mirror_reversal,FP,auto:obvious,3227.0,0.00094,0.011079,3.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765187762284_auto,mirror_reversal,FP,auto:obvious,3228.0,0.000958,0.010878,4.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765246787923_auto,mirror_reversal,FP,auto:obvious,3236.0,0.0,0.088657,3.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765246928280_auto,mirror_reversal,FP,auto:obvious,3238.0,0.001003,0.011081,2.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765249932982_auto,mirror_reversal,FP,auto:obvious,3242.0,0.001102,0.011113,4.0,,,,"2026-02-17 23:00:15"
mirror_reversal_1765232722116_auto,mirror_reversal,FP,auto:obvious,3245.0,2.6e-05,0.010998,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765177164000_auto,mirror_reversal,FP,auto:obvious,3249.0,0.001071,0.010934,1.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765246700176_auto,mirror_reversal,FP,auto:obvious,3257.0,0.000475,0.310499,2.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765246787923_auto,mirror_reversal,FP,auto:obvious,3258.0,0.0,0.199477,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765249929740_auto,mirror_reversal,FP,auto:obvious,3258.0,0.001102,0.011113,5.0,,,,"2026-02-17 23:00:15"
mirror_reversal_1765197737455_auto,mirror_reversal,FP,auto:obvious,3259.0,0.001029,0.010894,1.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765178350636_auto,mirror_reversal,FP,auto:obvious,3260.0,0.009997,0.010933,5.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765175607729_auto,mirror_reversal,FP,auto:obvious,3262.0,0.001081,0.010929,2.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765183650706_auto,mirror_reversal,FP,auto:obvious,3269.0,0.000966,0.010899,2.0,,,,"2026-02-17 23:00:05"
mirror_reversal_1765246934874_auto,mirror_reversal,FP,auto:obvious,3269.0,0.001003,0.011082,1.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765235678106_auto,mirror_reversal,FP,auto:obvious,3270.0,0.0,0.011013,5.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765178301460_auto,mirror_reversal,FP,auto:obvious,3272.0,0.000832,0.010933,5.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765196132055_auto,mirror_reversal,FP,auto:obvious,3272.0,0.00102,0.010893,4.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765216433716_auto,mirror_reversal,FP,auto:obvious,3276.0,0.0,0.89996,3.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765175459147_auto,mirror_reversal,FP,auto:obvious,3278.0,0.001046,0.010931,1.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765193682586_auto,mirror_reversal,FP,auto:obvious,3280.0,0.00092,0.010879,2.0,,,,"2026-02-17 23:00:07"
mirror_reversal_1765246909875_auto,mirror_reversal,FP,auto:obvious,3280.0,0.000502,0.01108,3.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765189459724_auto,mirror_reversal,FP,auto:obvious,3281.0,0.007637,0.010866,3.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765246941791_auto,mirror_reversal,FP,auto:obvious,3283.0,0.000502,0.011083,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765212204828_auto,mirror_reversal,FP,auto:obvious,3288.0,0.0,0.465271,4.0,,,,"2026-02-17 23:00:11"
mirror_reversal_1765193595003_auto,mirror_reversal,FP,auto:obvious,3292.0,0.000875,0.010883,5.0,,,,"2026-02-17 23:00:06"
mirror_reversal_1765246877007_auto,mirror_reversal,FP,auto:obvious,3295.0,0.001003,0.011082,2.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765249583571_auto,mirror_reversal,FP,auto:obvious,3298.0,0.004901,0.011094,4.0,,,,"2026-02-17 23:00:15"
mirror_reversal_1765180779063_auto,mirror_reversal,FP,auto:obvious,3300.0,0.0,0.305836,5.0,,,,"2026-02-17 23:00:04"
mirror_reversal_1765200248838_auto,mirror_reversal,FP,auto:obvious,3301.0,0.001018,0.010917,4.0,,,,"2026-02-17 23:00:09"
mirror_reversal_1765223590852_auto,mirror_reversal,FP,auto:obvious,3306.0,0.001054,0.011075,4.0,,,,"2026-02-17 23:00:12"
mirror_reversal_1765196678292_auto,mirror_reversal,FP,auto:obvious,3308.0,0.007952,0.010888,2.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765236185833_auto,mirror_reversal,FP,auto:obvious,3311.0,0.002901,0.220651,3.0,,,,"2026-02-17 23:00:13"
mirror_reversal_1765246894335_auto,mirror_reversal,FP,auto:obvious,3316.0,0.001504,0.011083,5.0,,,,"2026-02-17 23:00:14"
mirror_reversal_1765197638460_auto,mirror_reversal,FP,auto:obvious,3318.0,0.0,0.010902,2.0,,,,"2026-02-17 23:00:08"
mirror_reversal_1765176891138_auto,mirror_reversal,FP,auto:obvious,3319.0,0.000973,0.01092,2.0,,,,"2026-02-17 23:00:04"
