event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key,review_verdict,review_notes
1767819316144_mirror_reversal_287932_287937,2026-01-07T20:55:16.144000+00:00,1767819316144,Jan-1-31,mirror_reversal,287932_287937,FP,0.9,Slow (3.4s) = normal (user-learned),3379.0,0.1024,0.010977,5.0,,,,,,,False,False,False,False,False,False,,
1768583064750_mirror_reversal_167321_167324,2026-01-16T17:04:24.750000+00:00,1768583064750,Jan-1-31,mirror_reversal,167321_167324,FP,0.9,Slow (3.1s) = normal (user-learned),3141.0,0.1025,0.084376,3.0,,,,,,,False,False,False,False,False,False,,
1768478513380_mirror_reversal_114834_114836,2026-01-15T12:01:53.380000+00:00,1768478513380,Jan-1-31,mirror_reversal,114834_114836,FP,0.9,Slow (3.4s) = normal (user-learned),3416.0,0.0994,0.010354,2.0,,,,,,,False,False,False,False,False,False,,
1768472504612_mirror_reversal_93281_93286,2026-01-15T10:21:44.612000+00:00,1768472504612,Jan-1-31,mirror_reversal,93281_93286,FP,0.9,Slow (3.0s) = normal (user-learned),3010.0,0.8158,0.010327,5.0,,,,,,,False,False,False,False,False,False,,
1768015136006_mirror_reversal_243483_243484,2026-01-10T03:18:56.006000+00:00,1768015136006,Jan-1-31,mirror_reversal,243483_243484,FP,0.9,Slow (3.2s) = normal (user-learned),3165.0,0.0697,0.011036,1.0,,,,,,,False,False,False,False,False,False,,
1769548445408_mirror_reversal_203151_203153,2026-01-27T21:14:05.408000+00:00,1769548445408,Jan-1-31,mirror_reversal,203151_203153,FP,0.9,Slow (3.3s) = normal (user-learned),3262.0,0.0961,0.011194,2.0,,,,,,,False,False,False,False,False,False,,
1768742039046_mirror_reversal_56194_56196,2026-01-18T13:13:59.046000+00:00,1768742039046,Jan-1-31,mirror_reversal,56194_56196,FP,0.9,Slow (3.3s) = normal (user-learned),3315.0,0.0992,0.010521,2.0,,,,,,,False,False,False,False,False,False,,
1768967781323_mirror_reversal_440391_440394,2026-01-21T03:56:21.323000+00:00,1768967781323,Jan-1-31,mirror_reversal,440391_440394,FP,0.9,Slow (3.5s) = normal (user-learned),3496.0,0.8727,0.011184,3.0,,,,,,,False,False,False,False,False,False,,
1769624661915_mirror_reversal_211933_211937,2026-01-28T18:24:21.915000+00:00,1769624661915,Jan-1-31,mirror_reversal,211933_211937,FP,0.9,Slow (3.2s) = normal (user-learned),3177.0,0.0058,0.11124,4.0,,,,,,,False,False,False,False,False,False,,
1767821028119_mirror_reversal_295904_295906,2026-01-07T21:23:48.119000+00:00,1767821028119,Jan-1-31,mirror_reversal,295904_295906,FP,0.9,Slow (3.3s) = normal (user-learned),3314.0,0.1105,0.010969,2.0,,,,,,,False,False,False,False,False,False,,
1769782228336_mirror_reversal_161960_161962,2026-01-30T14:10:28.336000+00:00,1769782228336,Jan-1-31,mirror_reversal,161960_161962,FP,0.9,Slow (3.5s) = normal (user-learned),3478.0,0.1508,0.012058,2.0,,,,,,,False,False,False,False,False,False,,
1767878870564_mirror_reversal_155436_155441,2026-01-08T13:27:50.564000+00:00,1767878870564,Jan-1-31,mirror_reversal,155436_155441,FP,0.9,Slow (3.2s) = normal (user-learned),3181.0,0.3221,0.255341,5.0,,,,,,,False,False,False,False,False,False,,
1767820121280_mirror_reversal_292509_292512,2026-01-07T21:08:41.280000+00:00,1767820121280,Jan-1-31,mirror_reversal,292509_292512,FP,0.9,Slow (3.2s) = normal (user-learned),3230.0,0.0991,0.010967,3.0,,,,,,,False,False,False,False,False,False,,
1768038861936_mirror_reversal_44808_44813,2026-01-10T09:54:21.936000+00:00,1768038861936,Jan-1-31,mirror_reversal,44808_44813,FP,0.9,Slow (3.3s) = normal (user-learned),3316.0,0.0955,0.011023,5.0,,,,,,,False,False,False,False,False,False,,
