event_id,timestamp_iso_utc,timestamp_ms,day,detector,pair_id,auto_label,confidence,reason,delta_ms,amount_gap_pct,price_diff_bps,trades_apart,window_seconds,imbalance_ratio,notional_usd,price_move_bps,is_partial_window,price_range_bps,amount_missing,reason_mentions_amount,amount_claimed_but_missing,reason_mentions_same_price,same_price_claim_but_large_diff,is_dup_key
1767261863980_mirror_reversal_26192_26194,2026-01-01T10:04:23.980000+00:00,1767261863980,Jan-1-31,mirror_reversal,26192_26194,FP,0.9,Slow (3.2s) = normal (user-learned),3200.0,0.1002,0.011379,2.0,,,,,,,False,False,False,False,False,False
1767266077210_mirror_reversal_30918_30921,2026-01-01T11:14:37.210000+00:00,1767266077210,Jan-1-31,mirror_reversal,30918_30921,FP,0.9,Slow (3.0s) = normal (user-learned),3027.0,0.1012,0.011371,3.0,,,,,,,False,False,False,False,False,False
1767269858263_mirror_reversal_37182_37184,2026-01-01T12:17:38.263000+00:00,1767269858263,Jan-1-31,mirror_reversal,37182_37184,FP,0.9,Slow (3.0s) = normal (user-learned),3012.0,0.0997,0.011364,2.0,,,,,,,False,False,False,False,False,False
1767269875152_mirror_reversal_37193_37196,2026-01-01T12:17:55.152000+00:00,1767269875152,Jan-1-31,mirror_reversal,37193_37196,FP,0.9,Slow (3.1s) = normal (user-learned),3137.0,0.1001,0.011364,3.0,,,,,,,False,False,False,False,False,False
1767269881498_mirror_reversal_37197_37198,2026-01-01T12:18:01.498000+00:00,1767269881498,Jan-1-31,mirror_reversal,37197_37198,FP,0.9,Slow (3.0s) = normal (user-learned),3011.0,0.1003,0.011364,1.0,,,,,,,False,False,False,False,False,False
1767269888512_mirror_reversal_37205_37206,2026-01-01T12:18:08.512000+00:00,1767269888512,Jan-1-31,mirror_reversal,37205_37206,FP,0.9,Slow (3.0s) = normal (user-learned),3043.0,0.1005,0.011364,1.0,,,,,,,False,False,False,False,False,False
1767270923274_mirror_reversal_39188_39193,2026-01-01T12:35:23.274000+00:00,1767270923274,Jan-1-31,mirror_reversal,39188_39193,FP,0.9,Slow (3.0s) = normal (user-learned),3039.0,0.0035,0.034114,5.0,,,,,,,False,False,False,False,False,False
1767270923274_mirror_reversal_39190_39193,2026-01-01T12:35:23.274000+00:00,1767270923274,Jan-1-31,mirror_reversal,39190_39193,FP,0.9,Slow (3.0s) = normal (user-learned),3039.0,0.0018,0.022743,3.0,,,,,,,False,False,False,False,False,False
1767270923274_mirror_reversal_39191_39193,2026-01-01T12:35:23.274000+00:00,1767270923274,Jan-1-31,mirror_reversal,39191_39193,FP,0.9,Slow (3.0s) = normal (user-learned),3037.0,0.0018,0.011371,2.0,,,,,,,False,False,False,False,False,False
1767270923274_mirror_reversal_39192_39193,2026-01-01T12:35:23.274000+00:00,1767270923274,Jan-1-31,mirror_reversal,39192_39193,FP,0.9,Slow (3.0s) = normal (user-learned),3037.0,0.0018,0.0,1.0,,,,,,,False,False,False,False,False,False
1767274215079_mirror_reversal_43848_43849,2026-01-01T13:30:15.079000+00:00,1767274215079,Jan-1-31,mirror_reversal,43848_43849,FP,0.9,Slow (3.1s) = normal (user-learned),3122.0,0.0996,0.011366,1.0,,,,,,,False,False,False,False,False,False
1767275019607_mirror_reversal_44794_44795,2026-01-01T13:43:39.607000+00:00,1767275019607,Jan-1-31,mirror_reversal,44794_44795,FP,0.9,Slow (3.0s) = normal (user-learned),3018.0,0.1001,0.011365,1.0,,,,,,,False,False,False,False,False,False
1767286554576_mirror_reversal_70360_70362,2026-01-01T16:55:54.576000+00:00,1767286554576,Jan-1-31,mirror_reversal,70360_70362,FP,0.9,Slow (3.1s) = normal (user-learned),3132.0,0.1003,0.011367,2.0,,,,,,,False,False,False,False,False,False
1767287786749_mirror_reversal_72489_72492,2026-01-01T17:16:26.749000+00:00,1767287786749,Jan-1-31,mirror_reversal,72489_72492,FP,0.9,Slow (3.2s) = normal (user-learned),3195.0,0.1,0.011353,3.0,,,,,,,False,False,False,False,False,False
1767304578430_mirror_reversal_109471_109472,2026-01-01T21:56:18.430000+00:00,1767304578430,Jan-1-31,mirror_reversal,109471_109472,FP,0.9,Slow (3.1s) = normal (user-learned),3055.0,0.0884,0.011314,1.0,,,,,,,False,False,False,False,False,False
1767304659348_mirror_reversal_109527_109528,2026-01-01T21:57:39.348000+00:00,1767304659348,Jan-1-31,mirror_reversal,109527_109528,FP,0.9,Slow (3.2s) = normal (user-learned),3183.0,0.1396,0.011314,1.0,,,,,,,False,False,False,False,False,False
1767304991922_mirror_reversal_110228_110230,2026-01-01T22:03:11.922000+00:00,1767304991922,Jan-1-31,mirror_reversal,110228_110230,FP,0.9,Slow (3.0s) = normal (user-learned),3036.0,0.1041,0.011308,2.0,,,,,,,False,False,False,False,False,False
1767306034251_mirror_reversal_113105_113107,2026-01-01T22:20:34.251000+00:00,1767306034251,Jan-1-31,mirror_reversal,113105_113107,FP,0.9,Slow (3.0s) = normal (user-learned),3046.0,0.1609,0.011301,2.0,,,,,,,False,False,False,False,False,False
1767308298816_mirror_reversal_119880_119883,2026-01-01T22:58:18.816000+00:00,1767308298816,Jan-1-31,mirror_reversal,119880_119883,FP,0.9,Slow (3.1s) = normal (user-learned),3057.0,0.1001,0.011276,3.0,,,,,,,False,False,False,False,False,False
1767312616006_mirror_reversal_136600_136602,2026-01-02T00:10:16.006000+00:00,1767312616006,Jan-1-31,mirror_reversal,136600_136602,FP,0.9,Slow (3.1s) = normal (user-learned),3087.0,0.0,0.203137,2.0,,,,,,,False,False,False,False,False,False
1767319157951_mirror_reversal_156184_156185,2026-01-02T01:59:17.951000+00:00,1767319157951,Jan-1-31,mirror_reversal,156184_156185,FP,0.9,Slow (3.1s) = normal (user-learned),3103.0,0.6647,0.011282,1.0,,,,,,,False,False,False,False,False,False
1767321450815_mirror_reversal_163751_163754,2026-01-02T02:37:30.815000+00:00,1767321450815,Jan-1-31,mirror_reversal,163751_163754,FP,0.9,Slow (3.0s) = normal (user-learned),3030.0,0.0018,0.011306,3.0,,,,,,,False,False,False,False,False,False
1767321450815_mirror_reversal_163751_163755,2026-01-02T02:37:30.815000+00:00,1767321450815,Jan-1-31,mirror_reversal,163751_163755,FP,0.9,Slow (3.0s) = normal (user-learned),3030.0,0.0018,0.022612,4.0,,,,,,,False,False,False,False,False,False
1767321450815_mirror_reversal_163751_163756,2026-01-02T02:37:30.815000+00:00,1767321450815,Jan-1-31,mirror_reversal,163751_163756,FP,0.9,Slow (3.0s) = normal (user-learned),3030.0,0.0018,0.022612,5.0,,,,,,,False,False,False,False,False,False
1767322708069_mirror_reversal_167543_167545,2026-01-02T02:58:28.069000+00:00,1767322708069,Jan-1-31,mirror_reversal,167543_167545,FP,0.9,Slow (3.1s) = normal (user-learned),3052.0,0.4161,0.011284,2.0,,,,,,,False,False,False,False,False,False
1767323624145_mirror_reversal_172231_172236,2026-01-02T03:13:44.145000+00:00,1767323624145,Jan-1-31,mirror_reversal,172231_172236,FP,0.9,Slow (3.1s) = normal (user-learned),3141.0,0.0273,0.011252,5.0,,,,,,,False,False,False,False,False,False
1767323624145_mirror_reversal_172232_172236,2026-01-02T03:13:44.145000+00:00,1767323624145,Jan-1-31,mirror_reversal,172232_172236,FP,0.9,Slow (3.1s) = normal (user-learned),3141.0,0.0273,0.011252,4.0,,,,,,,False,False,False,False,False,False
1767323624145_mirror_reversal_172233_172236,2026-01-02T03:13:44.145000+00:00,1767323624145,Jan-1-31,mirror_reversal,172233_172236,FP,0.9,Slow (3.1s) = normal (user-learned),3141.0,0.0273,0.011252,3.0,,,,,,,False,False,False,False,False,False
1767323624145_mirror_reversal_172234_172236,2026-01-02T03:13:44.145000+00:00,1767323624145,Jan-1-31,mirror_reversal,172234_172236,FP,0.9,Slow (3.1s) = normal (user-learned),3141.0,0.0273,0.011252,2.0,,,,,,,False,False,False,False,False,False
1767323624147_mirror_reversal_172234_172239,2026-01-02T03:13:44.147000+00:00,1767323624147,Jan-1-31,mirror_reversal,172234_172239,FP,0.9,Slow (3.1s) = normal (user-learned),3143.0,0.0136,0.045009,5.0,,,,,,,False,False,False,False,False,False
